Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 69.0.3497.92,,2018-09-14 16:04:20,2018-09-14 16:04:21,0.707s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-14 16:04:21,2018-09-14 16:04:21,0.001s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-14 16:04:21,2018-09-14 16:04:21,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:04:21,2018-09-14 16:04:21,0.455s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:04:21,2018-09-14 16:04:21,0.249s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:04:21,2018-09-14 16:04:22,0.185s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-14 16:04:22,2018-09-14 16:04:22,0.723s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-14 16:04:22,2018-09-14 16:04:22,0.001s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:04:22,2018-09-14 16:04:24,2.002s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:04:24,2018-09-14 16:04:24,0.084s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:04:24,2018-09-14 16:04:26,2.002s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:04:26,2018-09-14 16:04:27,0.095s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-14 16:04:27,2018-09-14 16:04:27,0.113s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:04:27,2018-09-14 16:04:32,5.003s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-14 16:04:32,2018-09-14 16:04:32,0.025s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-14 16:04:32,2018-09-14 16:04:32,0.001s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-14 16:04:32,2018-09-14 16:04:33,1.518s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-14 16:04:33,2018-09-14 16:04:33,0.000s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-14 16:04:33,2018-09-14 16:04:33,0.076s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:04:33,2018-09-14 16:04:33,0.012s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-14 16:04:33,2018-09-14 16:04:33,0.017s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 16:04:33,2018-09-14 16:04:36,2.166s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:04:36,2018-09-14 16:04:36,0.010s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithTag,Chrome 69.0.3497.92,calling link genrate with custoamer full information,2018-09-14 16:04:36,2018-09-14 16:05:19,43.166s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-14 16:04:36,2018-09-14 16:05:01,24.860s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-14 16:05:01,2018-09-14 16:05:01,0.000s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:01,2018-09-14 16:05:02,0.688s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-14 16:05:02,2018-09-14 16:05:02,0.001s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-14 16:05:02,2018-09-14 16:05:02,0.001s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:02,2018-09-14 16:05:02,0.378s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:02,2018-09-14 16:05:03,0.449s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.002s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.408s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.235s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.108s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:03,0.118s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-14 16:05:03,2018-09-14 16:05:04,0.581s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-14 16:05:04,2018-09-14 16:05:04,0.000s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:04,2018-09-14 16:05:06,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:06,2018-09-14 16:05:06,0.092s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:06,2018-09-14 16:05:08,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:08,2018-09-14 16:05:08,0.110s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-14 16:05:08,2018-09-14 16:05:08,0.088s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:08,2018-09-14 16:05:13,5.002s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-14 16:05:13,2018-09-14 16:05:13,0.024s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-14 16:05:13,2018-09-14 16:05:13,0.000s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-14 16:05:13,2018-09-14 16:05:15,1.422s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-14 16:05:15,2018-09-14 16:05:15,0.001s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-14 16:05:15,2018-09-14 16:05:15,0.085s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:05:15,2018-09-14 16:05:15,0.015s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-14 16:05:15,2018-09-14 16:05:15,0.017s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 16:05:15,2018-09-14 16:05:19,3.854s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:05:19,2018-09-14 16:05:19,0.016s,PASSED
,,,,,,
"Test Cases/completed/TestCase2_Link Genrator Short link/LinkGenrateThroughMail,Number",Chrome 69.0.3497.92,,2018-09-14 16:05:19,2018-09-14 16:06:02,43.084s,PASSED
